Epoch1	validation_loss: 7.834767083198794
Epoch2	validation_loss: 7.200604371101625
Epoch3	validation_loss: 6.785601475161891
Epoch4	validation_loss: 6.352426279744794
Epoch5	validation_loss: 6.161916583584201
Epoch6	validation_loss: 6.080106223014093
Epoch7	validation_loss: 5.915685460644384
Epoch8	validation_loss: 5.721744359693219
Epoch9	validation_loss: 5.55879525907578
Epoch10	validation_loss: 5.4010208245246645
Epoch11	validation_loss: 5.272866663625163
Epoch12	validation_loss: 5.209736550238825
Epoch13	validation_loss: 5.00134737953063
Epoch14	validation_loss: 5.018632138159967
Epoch15	validation_loss: 4.868479113424978
Epoch16	validation_loss: 4.761873887431237
Epoch17	validation_loss: 4.717501713383582
Epoch18	validation_loss: 4.6577066383054175
Epoch19	validation_loss: 4.6194724513638405
Epoch20	validation_loss: 4.593302919018653
Epoch21	validation_loss: 4.586237229070356
Epoch22	validation_loss: 4.48578231565414
Epoch23	validation_loss: 4.546128687550945
Epoch24	validation_loss: 4.398622447444547
Epoch25	validation_loss: 4.4029898904985
Epoch26	validation_loss: 4.411786496254706
Epoch27	validation_loss: 4.411679065612055
Epoch28	validation_loss: 4.369313056238236
Epoch29	validation_loss: 4.381925179881434
Epoch30	validation_loss: 4.381275602309935
Epoch31	validation_loss: 4.2186257616166145
Epoch32	validation_loss: 4.217382897100141
Epoch33	validation_loss: 4.20008397102356
Epoch34	validation_loss: 4.178481565752337
Epoch35	validation_loss: 4.179159032144854
Epoch36	validation_loss: 4.17120345869372
Epoch37	validation_loss: 4.162219124455606
Epoch38	validation_loss: 4.162153510124453
Epoch39	validation_loss: 4.177233864415077
Epoch40	validation_loss: 4.141912154997549
Epoch41	validation_loss: 4.145681450443883
Epoch42	validation_loss: 4.155383938358676
Epoch43	validation_loss: 4.166518338264957
Epoch44	validation_loss: 4.146663682691512
Epoch45	validation_loss: 4.139758806074819
Epoch46	validation_loss: 4.150008672283541
Epoch47	validation_loss: 4.147191540656551
Epoch48	validation_loss: 4.138948671279415
Epoch49	validation_loss: 4.128040026849316
Epoch50	validation_loss: 4.132262069948258
